"","Papers","Partners","Journals","Citations","Years"
"301","Physical Principles of Membrane Shape Regulation by the Glycocalyx","CR Shurer, JCH Kuo, LDM Roberts, JG Gandhi, MJ Colville, TA Enoki, ...","Cell, 2019","8","2019"
"302","Single-molecule trapping and spectroscopy reveals photophysical heterogeneity of phycobilisomes quenched by Orange Carotenoid Protein","AH Squires, PD Dahlberg, H Liu, NCM Magdaong, RE Blankenship, ...","Nature communications 10 (1), 1172, 2019","8","2019"
"303","Enhancement of molecular emission using optical-antenna structures","WE Moerner, A Kinkhabwala","US Patent 9,075,010, 2015","8","2015"
"304","Plasmonics, tracking and manipulating, and living cells: General discussion","T Cordes, W Moerner, M Orrit, S Sekatskii, S Faez, P Borri, HP Goswami, ...","Faraday discussions 184, 451-473, 2015","8","2015"
"305","Eyes on super-resolution","R Won, WE Moerner","Nature Photonics 3 (7), 368-369, 2009","8","2009"
"306","Optical photorefractive article","WE Moerner, SM Silence, RJ Twieg","US Patent 5,607,799, 1997","8","1997"
"307","Single molecules solvated in pores of polyacrylamide gels","RM Dickson, DJ Norris, YL Tzeng, R Sakowicz, LSB Goldstein, ...","Molecular Crystals and Liquid Crystals Science and Technology. Section A …, 1996","8","1996"
"308","Single molecules and atoms","WE Moerner, PF Barbara","Accounts of chemical research 29 (12), 561-562, 1996","8","1996"
"309","Photorefractive polymers","SM Silence, DM Burland, WE Moerner","Photorefractive effects and materials, 265-309, 1995","8","1995"
"310","Spectrally resolved anti-Brownian electrokinetic (ABEL) trapping of single peridinin-chlorophyll-proteins in solution","SD Bockenhauer, Q Wang, WE Moerner","Biophotonics: Photonic Solutions for Better Health Care III 8427, 84274C, 2012","7","2012"
"311","Biomolecular applications of single-molecule measurements: Kinetics and dynamics of a single-enzyme reaction","M Paige, DP Fromm, WE Moerner","Methods for Ultrasensitive Detection II 4634, 92-103, 2002","7","2002"
"312","Persistent Spectral Hole-burning","WE Moerner, UP Wild, LW Johnson","Applied Optics 28, 3486, 1989","7","1989"
"313","Phase sensitive ultrasonic modulation method for the detection of strain-sensitive spectral features","AL Huston, WE Moerner","US Patent 4,614,116, 1986","7","1986"
"314","Laser light-induced physical processes in optical materials: persistent spectral hole-burning","WE Moerner","Radiation Effects on Optical Materials 541, 60-69, 1985","7","1985"
"315","Condensed matter: structure and mechanical and thermal properties","JH Huh, A Kuribayashi, S Kai","Journal of the Physical Society of Japan 78 (8), 2009","6","2009"
"316","Recent advances in photorefractive polymer materials","WE Moerner, A Grunnet-Jepsen, CL Thompson, MS Bratcher, RJ Twieg","Nonlinear Optical Properties of Organic Materials X 3147, 84-94, 1997","6","1997"
"317","Optische Spektroskopie von einzelnen Dotierungsmolekülen in Festkörpern","WE Moerner, T Basché","Angewandte Chemie 105 (4), 537-557, 1993","6","1993"
"318","Polymeric electro-optic phase modulator","JD Swalen, GC Bjorklund, WW Fleming, M Jurich, WE Moerner, ...","Nonl. Opt 6, 205, 1993","6","1993"
"319","Single molecule spectral diffusion in a solid detected via fluorescence spectroscopy","WP Ambrose, T Basché, WE Moerner","Journal of luminescence 53 (1-6), 62-67, 1992","6","1992"
"320","Identification of PAmKate as a Red Photoactivatable Fluorescent Protein for Cryogenic Super-Resolution Imaging","PD Dahlberg, AM Sartor, J Wang, S Saurabh, L Shapiro, WE Moerner","Journal of the American Chemical Society 140 (39), 12310-12313, 2018","5","2018"
"321","2017 Conference on Lasers and Electro-Optics (CLEO)","B Fang, S Dong, S Meiselman, O Cohen, VO Lorenz","IEEE, 2017","5","2017"
"322","Robust hypothesis tests for detecting statistical evidence of two-dimensional and three-dimensional interactions in single-molecule measurements","CP Calderon, LE Weiss, WE Moerner","Physical Review E 89 (5), 052705, 2014","5","2014"
"323","From “There' s Plenty of Room at the Bottom” to Seeing What is Actually There","JAJ Fitzpatrick, Y Inouye, S Manley, WE Moerner","ChemPhysChem 15 (4), 547-549, 2014","5","2014"
"324","Persistent spectral hole-burning: science and applications","GC Bjorklund, D Haarer, JM Hayes, R Jankowiak, W Lenth, ...","Springer Science & Business Media, 2012","5*","2012"
"325","Single-molecule chemistry and biology special feature: New directions in single-molecule imaging and analysis (vol 104, pg 12596, 2007)","WE Moerner","Proceedings of the National Academy of Sciences of the United States of …, 2007","5","2007"
"326","Integrated semiconductor bio-fluorescence sensor integrated on micro-fluidic platform","E Thrush, O Levi, LJ Cook, JS Harris, SJ Smith, J Deich, WE Moerner","Conference on Lasers and Electro-Optics, CThI3, 2004","5","2004"
"327","Novel fluorophores for single-molecule imaging [5222-33]","KA Willets, O Ostroverkhova, S Hess, M He, RJ Twieg, WE Moerner","PROCEEDINGS-SPIE THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING, 150-157, 2003","5","2003"
"328","Synthesis and properties of glassy organic multifunctional photorefractive materials","M He, R Twieg, U Gubler, D Wright, WE Moerner","Optical Materials 21 (1-3), 353-357, 2003","5","2003"
"329","Process for photorefractive index grating formation","GC Bjorklund, WE Moerner, SM Silence","US Patent 6,280,884, 2001","5","2001"
"330","Thirteen years of single-molecule spectroscopy in physical chemistry and biophysics","WE Moerner","Single Molecule Spectroscopy, 32-61, 2001","5","2001"
"331","The fluorescence dynamics of single molecules of green fluorescent protein: Effect of mutations, ph, and matrix","EJG Peterman, S Brasselet, WE Moerner","Biophysical Journal 76 (1), A445-A445, 1999","5","1999"
"332","Mechanisms of photorefractivity in polymer composites","WE Moerner, A Grunnet-Jepsen, CL Thompson, RJ Twieg","Organic Photorefractive Materials and Xerographic Photoreceptors 2850, 2-13, 1996","5","1996"
"333","Photorefractive polymers for holographic optical storage","WE Moerner, C Poga, Y Jia, RJ Twieg","TECHNICAL DIGEST SERIES-OPTICAL SOCIETY OF AMERICA 21, 330-330, 1995","5","1995"
"334","Optical spectroscopy of individual molecules trapped in solids","WE Moerner","AIP Conference Proceedings 323 (1), 467-486, 1994","5","1994"
"335","Photoconductivity of photorefractive polymers","JC Scott, LT Pautmeier, WE Moerner, CA Walsh, SM Silence, TJ Matray, ...","MRS Online Proceedings Library Archive 277, 1992","5","1992"
"336","Applications of Organic Second-Order Nonlinear Optical Materials","GC Bjorklund, S Ducharme, W Fleming, D Jungbauer, WE Moerner, ...","","5","1991"
"337","Organic nonlinear optical materials and their device applications for frequency doubling, modulation, and switching","JD Swalen, GC Bjorklund, S Ducharme, WW Fleming, S Herminghaus, ...","Nonlinear Optical Properties of Organic Materials III 1337, 2-11, 1990","5","1990"
"338","Erratum: Persistent nonphotochemical spectral hole dynamics for an infrared vibrational mode in alkali halide crystals","WE Moerner, AR Chraplyvy, AJ Sievers, RH Silsbee","Physical Review B 29 (8), 4791, 1984","5","1984"
"339","Spektroskopie, Visualisierung und Photomanipulation einzelner Moleküle: die Grundlage für superhochauflösende Mikroskopie (Nobel-Aufsatz)","WE Moerner","Angewandte Chemie 127 (28), 8182-8210, 2015","4","2015"
"340","Robust Hypothesis Tests for Detecting Statistical Evidence of 2D and 3D Interactions in Single-Molecule Measurements","CP Calderon, LE Weiss, WE Moerner","arXiv preprint arXiv:1312.6742, 2013","4","2013"
"341","Single-Molecule Photocontrol and Nanoscopy","MD Lew, SF Lee, MA Thompson, DL Hsiao-lu, WE Moerner","Far-Field Optical Nanoscopy, 87-110, 2012","4","2012"
"342","Investigation of collagen fiber organization in cornea and sclera using quantitative SHG microscopy","R Ambekar, KC Toussaint","Frontiers in Optics, FTuQ2, 2011","4","2011"
"343","Single-molecule electron spin resonance","C von Borczyskowski, J Koehler, WE Moerner, M Orrit, J Wrachtrup","Applied Magnetic Resonance 31 (3-4), 665, 2007","4","2007"
"344","Optical field enhancement with plasmon resonant Bowtie Nanoantennas","GS Kino, A Sundaramurthy, PJ Schuck, DP Fromm, WE Moerner","Surface Plasmon Nanophotonics, 125-137, 2007","4","2007"
"345","Field enhancement and resonance in optical antennas","KB Crozier, A Sundaramurthy, GS Kino, CF Quate, DP Fromm, ...","Quantum Electronics and Laser Science Conference, QTuD3, 2003","4","2003"
"346","Integrated semiconductor fluorescence sensor for portable bio-medical diagnostics","EP Thrush, O Levi, W Ha, JS Harris, SJ Smith, A Kurtz, J Hwang, ...","Conference on Lasers and Electro-Optics, CTuU1, 2003","4","2003"
"347","Uncorrelated diffusion of MHC class II proteins in the plasma membrane","M Vrljic, SY Nishimura, S Brasselet, WE Moerner, HM McConnell","BIOPHYSICAL JOURNAL 82 (1), 523A-523A, 2002","4","2002"
"348","Fluorescence correlation spectroscopy (PCS) of different GFP mutants reveals fast light-driven intramolecular dynamics","P Schwille, S Kummer, WE Moerner, WW Webb","BIOPHYSICAL JOURNAL 76 (1), A260-A260, 1999","4","1999"
"349","Physical Principles and Methods of Single-Molecule Spectroscopy in Solids","WE Moerner","Single-Molecule Optical Detection, Imaging and Spectroscopy, 1-30, 1996","4","1996"
"350","Optical Waveguiding in Poled NLO Polymers","JD Swalen, W Fleming, M Jurich, WE Moerner, BA Smith, S Herminghaus, ...","MRS Online Proceedings Library Archive 228, 1992","4","1992"
"351","Ducharme et al. reply","S Ducharme, JC Scott, RJ Twieg, WE Moerner","Physical review letters 67 (18), 2590, 1991","4*","1991"
"352","Phase-sensitive optical detection of ballistic phonon heat pulses using frequency-modulation spectroscopy and persistent spectral holes","WP Ambrose, WE Moerner","Physical Review B 43 (2), 1743, 1991","4","1991"
"353","Revealing nanoscale morphology of the primary cilium using super-resolution fluorescence microscopy","J Yoon, CJ Comerci, LE Weiss, L Milenkovic, T Stearns, WE Moerner","Biophysical journal 116 (2), 319-329, 2019","3","2019"
"354","Resolving Mixtures in Solution by Single-Molecule Rotational Diffusivity","HY Yang, WE Moerner","Nano letters 18 (8), 5279-5287, 2018","3","2018"
"355","Phospho-signal flow from a pole-localized microdomain spatially patterns transcription factor activity","K Lasker, A von Diezmann, DG Ahrens, TH Mann, WE Moerner, L Shapiro","bioRxiv, 220293, 2018","3","2018"
"356","How the optical microscope became a nanoscope","E Betzig, SW Hell, WE Moerner","The Nobel Prize in Chemistry, 2014","3","2014"
"357","Anti-Brownian ELectrokinetic (ABEL) trapping of single ß2-adrenergic receptors in the absence and presence of agonist","S Bockenhauer, A Fürstenberg, XJ Yao, BK Kobilka, WE Moerner","Single Molecule Spectroscopy and Superresolution Imaging V 8228, 822805, 2012","3","2012"
"358","Sub-micron object control arrangement and approach therefor","AE Cohen, WE Moerner","US Patent 8,057,655, 2011","3","2011"
"359","Three-Dimensional Super-Resolution Imaging with a Double-Helix Microscope","SRP Pavani, R Piestun, MA Thompson, JS Biteen, WE Moerner","Novel Techniques in Microscopy, NMA5, 2009","3","2009"
"360","Superresolution imaging in live bacterial cells by single-molecule active-control microscopy","JS Biteen, MA Thompson, NK Tselentis, L Shapiro, WE Moerner","Conference on Lasers and Electro-Optics, CFT2, 2008","3","2008"
"361","Synthesis, properties and applications of Dicyanomethylenedihydrofuran (DCDHF) single molecule fluorophores","R Twieg, H Wang, Z Lu, SY Kim, S Lord, S Nishimura, PJ Schuck, ...","Nonlinear Optics Quantum Optics 34 (1-4 SPEC. ISS.), 241-246, 2005","3","2005"
"362","Laser background rejection optimization in integrated optoelectronic fluorescence sensor","E Thrush, O Levi, W Ha, G Carey, LJ Cook, J Deich, SJ Smith, ...","Proc. TAS 1, 363-366, 2003","3","2003"
"363","The effect of varying cholesterol concentrations on the translational diffusion of individual class II MHC membrane proteins in cells","M Vrljic, SY Nishimura, WE Moerner, HM McConnell","Biophysical Journal 84 (2), 325A-325A, 2003","3","2003"
"364","High-performance photorefractive organic glasses: understanding mechanisms and limitations","O Ostroverkhova, UJ Gubler, D Wright, M He, RJ Twieg, WE Moerner","Organic Photorefractive and Photosensitive Materials for Holographic …, 2002","3","2002"
"365","Lightwave transmission of multiple television signals using an organic polymer electro-optic phase modulator","BA Smith, MC Jurich, WE Moerner, W Volksen, ME Best, WW Fleming, ...","Nonlinear Optical Properties of Organic Materials VI 2025, 499-506, 1993","3","1993"
"366","Two-beam coupling measurements of grating phase in a photorefractive polymer: erratum","CA Walsh, WE Moerner","JOSA B 10 (4), 753-753, 1993","3","1993"
"367","Phase sensitive detection of persistent spectral holes using synchronous ultrasonic modulation","WE Moerner, AL Huston","Applied Physics Letters 48 (18), 1181-1183, 1986","3","1986"
"368","Multi-wavelength phase mask","Y Shechtman, WE Moerner, L Weiss","US Patent 10,341,640, 2019","2","2019"
"369","Quantitative super-resolution microscopy of the mammalian glycocalyx","L Möckl, K Pedram, AR Roy, V Krishnan, AK Gustavsson, O Dorigo, ...","Developmental cell, 2019","2","2019"
"370","Anti-Brownian Traps","AH Squires, AE Cohen, WE Moerner","Encyclopedia of Biophysics, 1-8, 2018","2","2018"
"371","Fluorogenic compounds converted to fluorophores by photochemical or chemical means and their use in biological systems","RJ Twieg, WE Moerner, SJ Lord, LIU Na, R Samuel","US Patent 8,772,048, 2014","2","2014"
"372","The Double-Helix Microscope Enables Precise and Accurate Measurement of 3D Single-Molecule Orientation and Localization Beyond the Diffraction Limit","M Backlund, MD Lew, AS Backer, SJ Sahl, G Grover, A Agrawal, ...","Novel Techniques in Microscopy, NM2B. 2, 2013","2","2013"
"373","Fluorogenic compounds converted to fluorophores by photochemical or chemical means and their use in biological systems","RJ Twieg, WE Moerner, SJ Lord, LIU Na, R Samuel","US Patent 8,153,446, 2012","2","2012"
"374","Photoexcitation of Free Radicals and Molecular Ions Trapped in Rare-Gas Solids","ME Jacox","Physics and Chemistry at Low Temperatures, 1, 2011","2","2011"
"375","Recovering Absolute Fret Efficiency from Single Molecules: Comparing Methods of Gamma Correction","JJ McCann, UB Choi, L Zheng, K Weninger, ME Bowen","Biophysical Journal 98 (3), 186a-187a, 2010","2","2010"
"376","Coupling Fluorophores to Nanophotonic Structures","AA Kinkhabwala","Stanford University, 2010","2","2010"
"377","Room-temperature source of single photons based on a single molecule in a condensed matter host","WE Moerner, B Lounis","US Patent 7,068,698, 2006","2","2006"
"378","Exploring novel methods of interferometric detection of ultrasmall phase shifts","J Hwang, MM Fejer, WE Moerner","Manipulation and Analysis of Biomolecules, Cells, and Tissues 4962, 110-120, 2003","2","2003"
"379","Probing local polarity changes in GroEL/ES with fluorescence spectroscopy","SY Kim, D Fromm, S Hess, RJ Twieg, GW Farr, AL Horwich, J Frydman, ...","BIOPHYSICAL JOURNAL 84 (2), 27A-27A, 2003","2","2003"
"380","Homodyne interferometer using photorefractive polymer composite and method of sensing material","MB Klein, GD Bacher, D Wright, WE Moerner, A Grunnet-Jepsen","US Patent App. 09/268,424, 2001","2","2001"
"381","Single-molecule studies of fluorescent proteins and enzymes","WE Moerner, EJ Peterman, H Sosa, S Brasselet, RM Dickson, S Kummer, ...","Biophysical Journal 76 (1), A20-A20, 1999","2","1999"
"382","Large-gain photorefractive polymers","A Grunnet-Jepsen, CL Thompson, RJ Twieg, KD Belfield, MS Bratcher, ...","Xerographic Photoreceptors and Organic Photorefractive Materials II 3144 …, 1997","2","1997"
"383","High-efficiency photorefractive polymer with immunity to crystallization","C Poga, RJ Twieg, WE Moerner","TECHNICAL DIGEST SERIES-OPTICAL SOCIETY OF AMERICA 21, 342-342, 1995","2","1995"
"384","Understanding trapping in photorefractive polymer composites for optical processing applications","WE Moerner, A Grunnet-Jepsen, D Wright, J Casperson, E Glazer, ...","Technical Digest. Summaries of Papers Presented at the Quantum Electronics …, 1992","2","1992"
"385","Persistant spectral hole-burning: Photon-gating and fundamental statistical limits","WE Moerner","IBM ALMADEN RESEARCH CENTER SAN JOSE CA, 1989","2","1989"
"386","Organic materials for frequency domain optical storage","WE Moerner","Lasers' 83; Proceedings of the International Conference, 489-493, 1985","2","1985"
"387","Two transducer formula for more precise determination of ultrasonic phase velocity from standing wave measurements","HI Ringermacher, WE Moerner, JG Miller","","2","1974"
"388","Topologically-guided continuous protein crystallization controls bacterial surface layer self-assembly","CJ Comerci, J Herrmann, J Yoon, F Jabbarpour, X Zhou, JF Nomellini, ...","Nature communications 10 (1), 2731, 2019","1","2019"
"389","Interferometric scattering enables fluorescence-free electrokinetic trapping of single nanoparticles in free solution","AH Squires, AA Lavania, PD Dahlberg, WE Moerner","Nano letters, 2019","1","2019"
"390","Piñata hoisting device","G Lopez","US Patent 10,071,889, 2018","1","2018"
"391","Precise Measurement of Single-Molecule Rotational Diffusivity in Solution","HY Yang, WE Moerner","Biophysical Journal 114 (3), 170a, 2018","1","2018"
"392","Single-molecule imaging of Wnt3A protein diffusion on living cell membranes","A Lippert, AA Janeczek, A Fürstenberg, A Ponjavic, WE Moerner, R Nusse, ...","Biophysical journal 113 (12), 2762-2767, 2017","1","2017"
"393","Super-Resolution Microscopy and Single-Protein Tracking in Live Bacteria Using a Genetically Encoded, Photostable Fluoromodule","S Saurabh, AM Perez, CJ Comerci, L Shapiro, WE Moerner","Current protocols in cell biology 75 (1), 4.32. 1-4.32. 22, 2017","1","2017"
"394","Experimental demonstration of sparsity-based single-shot fluorescence imaging at sub-wavelength resolution","M Mutzafi, Y Shechtman, O Dicker, L Weiss, YC Eldar, WE Moerner, ...","2017 Conference on Lasers and Electro-Optics (CLEO), 1-2, 2017","1","2017"
"395","Spectroscopic and transport measurements of single molecules in solution using an electrokinetic trap","Q Wang, WE Moerner","Single Molecule Spectroscopy and Superresolution Imaging VII 8950, 895004, 2014","1","2014"
"396","The Aggregation-Prone Mutant Huntingtin Protein in a Cellular Context-Approaches by Super-Resolution Imaging","SJ Sahl, WIM Vonk, LE Weiss, L Lau, J Frydman, WE Moerner","Biophysical Journal 106 (2), 683a, 2014","1","2014"
"397","Measuring the 3D position and orientation of single molecules simultaneously and accurately with the double helix microscope","MD Lew, MP Backlund, AS Backer, SJ Sahl, G Grover, A Agrawal, ...","CLEO: Science and Innovations, CTu3N. 3, 2013","1","2013"
"398","3D tracking of single mRNA particles in S. cerevisiae using a double-helix point spread function","MA Thompson, JM Casolari, PO Brown, WE Moerner","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 241, 2011","1","2011"
"399","Live cell single-molecule and superresolution imaging of proteins in bacteria","JS Biteen, WE Moerner","Single Molecule Spectroscopy and Imaging IV 7905, 79050Q, 2011","1","2011"
"400","Localization Precision of Three-Dimensional Superresolution Fluorescence Imaging Using a Double-Helix Point Spread Function","M Lew, MA Thompson, M Badieirostami, WE Moerner","Computational Optical Sensing and Imaging, CThA4, 2009","1","2009"
"401","Probing high-Q photonic crystal resonances with fluorescent molecules","K Rivoire, A Kinkhabwala, WE Moerner, J Vuckovic, F Hatami, ...","2009 Conference on Lasers and Electro-Optics and 2009 Conference on Quantum …, 2009","1","2009"
"402","Photoactivatable DCDHF fluorophores for single-molecule imaging","SJ Lord, NR Conley, DL Hsiao-lu, N Liu, R Samuel, RJ Twieg, ...","Reporters, Markers, Dyes, Nanoparticles, and Molecular Probes for Biomedical …, 2009","1","2009"
"403","Nanophotonics and Single Molecules","WE Moerner, PJ Schuck, DP Fromm, A Kinkhabwala, SJ Lord, ...","Single Molecules and Nanotechnology, 1-23, 2008","1","2008"
"404","Bowtie Nanoantennas as Substrates for Electrochemical Surface-Enhanced Raman Scattering (SERS)","F Jäckel, AA Kinkhabwala, WE Moerner","Frontiers in Optics, FThF3, 2007","1","2007"
"405","Observing dynamics of individual biomolecules with single-molecule microscopy","WE Moerner","Biophysical Journal, 363A-363A, 2007","1","2007"
"406","Single-molecule biophysics, nanophotonics, and trapping","WE Moerner, A Cohen, D Fromm, SY Kim, S Nishimura, PJ Schuck, ...","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 230, U336-U336, 2005","1","2005"
"407","Real-time observation of T7 DNA polymerase activity by single-molecule fluorescence spectroscopy","AH Kurtz, ET Kool, WE Moerner","BIOPHYSICAL JOURNAL 88 (1), 350A-350A, 2005","1","2005"
"408","Gap-dependent optical coupling of single"" bowtie"" nanoantennas in the visible","DP Fromm, PJ Schuck, WE Moerner, A Sundaramurthy, K Crozier, G Kino","InternationalQuantum Electronics Conference, 2004.(IQEC)., 622-623, 2004","1","2004"
"409","Single-Molecule Magic","KA Willets, RJ Twieg, WE Moerner","SPIE’s OE Magazine of Photonics Technologies and Applications 4 (6), 13-15, 2004","1","2004"
"410","Self-trapping of light in a photorefractive organic glass","Z Chen, M Asaro, O Ostroverkhova, WE Moerner, RJ Twieg, M He, ...","Conference on Lasers and Electro-Optics, CThE1, 2003","1","2003"
"411","Enhancement of the blue fluorescent protein's fluorescence by high pressure or low temperature","JA Deich, K Mauring, FI Rosell, TB McAnaney, WE Moerner, SG Boxer","BIOPHYSICAL JOURNAL 82 (1), 427A-427A, 2002","1","2002"
"412","Photorefractive polymers for laser-based ultrasound detection","D Wright, UJ Gubler, MB Klein, WE Moerner","Organic Photorefractives, Photoreceptors, and Nanocomposites 4104, 110-117, 2000","1","2000"
"413","Design and Optimization of Chromophores for Liquid Crystal and Photorefractive Applications","RJ Twieg, M He, L Sukhomlinova, F You, WE Moerner, MA Diaz-Garcia, ...","MRS Online Proceedings Library Archive 561, 1999","1","1999"
"414","Recent advances in high-gain photorefractive polymers","WE Moerner, A Grunnet-Jepsen, DA Wright, BR Smith","Technical Digest. Summaries of Papers Presented at the Conference on Lasers …, 1998","1","1998"
"415","Optical studies of single molecules and proteins in biocompatible gels","WE Moerner, RM Dickson, S Kummer","BIOPHYSICAL JOURNAL 74 (2), A10-A10, 1998","1","1998"
"416","Nonlinear Dynamics, Fluid Dynamics, Classical Optics, etc-Simultaneous Imaging of Individual Molecules Aligned Both Parallel and Perpendicular to the Optic Axis","RM Dickson, DJ Norris, WE Moerner","Physical Review Letters 81 (24), 5322-5325, 1998","1","1998"
"417","Polyacrylamide gels for single molecule biophysics.","RM Dickson, WE Moerner","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 213, 224-PHYS, 1997","1","1997"
"418","Probing nanoenvironments in solids and quantum optics using individual impurity molecules","WE Moerner","Progress in crystal growth and characterization of materials 33 (1-3), 11-18, 1996","1","1996"
"419","Dynamics and vibrational spectra of individual molecules in polymer glasses","AB Myers, P Tchenio, WE Moerner","Advanced Optical Methods for Ultrasensitive Detection 2385, 103-114, 1995","1","1995"
"420","Cascading of second-order processes in quadratic molecular media at the origin of very large cubic effects","P Vidakovic, J Zyss, D Kim, W Toruellas, G Stegeman, WE Moerner, ...","Synthetic Metals 67 (1-3), 303-307, 1994","1","1994"
"421","Vibronic Spectroscopy of Single Molecules in Solids","AB Myers, P Tchenio, WE Moerner","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 208, 33-PHYS, 1994","1","1994"
"422","The photorefractive effect","WE Moerner","Nature 371 (6497), 476-476, 1994","1","1994"
"423","Optical detection of magnetic resonance of a single molecular spin","WE Moerner","Optics and Photonics News 4 (12), 35-36, 1993","1","1993"
"424","Persistent Spectral Hole Burning: Introduction","WE Moerner, GJ Small","JOSA B 9 (5), 712-712, 1992","1","1992"
"425","Nonlinear Optical Properties of Organic Photorefractive Polymers","WE Moerner, CA Walsh, SM Silence, RJ Twieg, TJ Matray, JC Scott, ...","MRS Online Proceedings Library Archive 277, 1992","1","1992"
"426","The Photorefractive Effect in Nonlinear Polymers Doped with Charge Transport Agents","JC Scott, S Ducharme, RJ Twieg, WE Moerner","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 202, 155-POLY, 1991","1","1991"
"427","Ultrasensitive laser spectroscopy in solids: Single-molecule detection","WE Moerner, L Kador, WP Ambrose","Molecular Crystals and Liquid Crystals 183 (1), 47-57, 1990","1","1990"
"428","Persistent Infrared Spectral Hole-Burning for Impurity Vibrational Modes in Solids","AJ Sievers, WE Moerner","Persistent Spectral Hole-Burning: Science and Applications, 203-250, 1988","1","1988"
"429","Vibrational relaxation dynamics of an IR laser excited molecular impurity mode in alkali halide lattices.","WE Moerner","Dissertation Abstracts International Part B: Science and Engineering[DISS …, 1982","1","1982"
"430","Passive mode locking of a TEA CO2 laser with matrix isolated SF6 (A)","LH Greene, RT Warner, WE Moerner, AJ Sievers, JF Figueira","J. Opt. Soc. Am., vol. 70, page 640 70, 1980","1","1980"
"431","Ultrasonic dispersion (delta V/V) determined from mechanical resonance frequency shifts","WE Moerner, JG Miller","","1","1974"
"432","BGnet: Accurate and rapid background estimation in single-molecule localization microscopy with deep neural nets","L Möckl, AR Roy, PN Petrov, WE Moerner","arXiv preprint arXiv:1909.08151, 2019","","2019"
"433","Apparatuses and methods for three-dimensional imaging of an object","Y Shechtman, WE Moerner, L Weiss, SJ Sahl","US Patent App. 16/250,483, 2019","","2019"
"434","Asymmetric division yields progeny cells with distinct modes of regulating cell cycle-dependent chromosome methylation","X Zhou, J Wang, J Herrmann, WE Moerner, L Shapiro","Proceedings of the National Academy of Sciences 116 (31), 15661-15670, 2019","","2019"
"435","Accurate phase retrieval of complex point spread functions with deep residual neural networks","L MÖckl, PN Petrov, WE Moerner","arXiv preprint arXiv:1906.01748, 2019","","2019"
"436","Multi-Step 2D Protein Crystallization via Structural Changes within an Ordered Lattice","J Herrmann, CJ Comerci, F Jabbarpour, L Shapiro, WE Moerner, ...","Biophysical Journal 116 (3), 194a, 2019","","2019"
"437","Providing 3D for Super-Resolution Microscopy and Single-Particle Tracking in Cells with Single Molecules","W Moerner","Biophysical Journal 116 (3), 331a, 2019","","2019"
"438","Protein Self-Assembly Drives Surface Layer Biogenesis and Maintenance in C. crescentus","J Herrmann, C Comerci, J Yoon, F Jabbarpour, L Shapiro, S Wakatsuki, ...","Biophysical Journal 116 (3), 159a, 2019","","2019"
"439","A Bacterial Biomolecular Condensate Sequesters a Signaling Pathway that Drives Spatial Regulation of Gene Expression and Asymmetric Cell Division","K Lasker, A von Diezmann, WE Moerner, L Shapiro","Biophysical Journal 116 (3), 453a, 2019","","2019"
"440","Continuous, Topologically Guided Protein Crystallization Controls Bacterial Surface Layer Self-Assembly","CJ Comerci, J Herrmann, J Yoon, F Jabbarpour, X Zhou, JF Nomellini, ...","bioRxiv, 538397, 2019","","2019"
"441","Interferometric scattering for label-free electrokinetic trapping of single nanoparticles","A Lavania, A Squires, P Dahlberg, W Moerner","APS Meeting Abstracts, 2019","","2019"
"442","Localization Microscopy of Single Molecules Enhanced by 3D Imaging and Light Sheet Illumination.","WE Moerner","Journal of physics D: Applied physics 52 (1), 2019","","2019"
"443","Quantitative super-resolution microscopy reveals the architecture of the mammalian glycocalyx and its changes during cancer progression","L Moeckl, K Pedram, A Roy, AK Gustavsson, C Bertozzi, W Moerner","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 256, 2018","","2018"
"444","Tilted light sheet microscopy with 3D point spread functions for single-molecule super-resolution imaging in mammalian cells","AK Gustavsson, PN Petrov, MY Lee, Y Shechtman, WE Moerner","Single Molecule Spectroscopy and Superresolution Imaging XI 10500, 105000M, 2018","","2018"
"445","Probing Asymmetric Behavior of a Cell Cycle Regupatory Protein in Live Caulobacter using Single-Molecule Imaging","J Wang, L Shapiro, WE Moerner","Biophysical Journal 114 (3), 350a, 2018","","2018"
"446","A Polar Matrix Microdomain Constrains Diffusion and Regulates Intracellular Signaling","A von Diezmann, K Lasker, TH Mann, DG Ahrens, L Shapiro, WE Moerner","Biophysical Journal 114 (3), 548a, 2018","","2018"
"447","A Red Fluorescent Protein for Cryogenic Single-Molecule Superresolution Imaging","AM Sartor, PD Dahlberg, J Wang, L Shapiro, WE Moerner","Biophysical Journal 114 (3), 529a-530a, 2018","","2018"
"448","Quantifying Nanoscale Morphological Features of the Primary Cilium Membrane using Super-Resolution Fluorescence Microscopy","J Yoon, L Weiss, L Milenkovic, T Stearns, WE Moerner","Biophysical Journal 114 (3), 268a, 2018","","2018"
