"","Papers","Partners","Journals","Citations","Years"
"296","Reversible photoswitching enables single-molecule fluorescence fluctuation spectroscopy at high molecular concentration","C Eggeling, M Hilbert, H Bock, C Ringemann, M Hofmann, AC Stiel, ...","Microscopy research and technique 70 (12), 1003-1009, 2007","33","2007"
"297","Dynamic imaging of colloidal-crystal nanostructures at 200 frames per second","MA Lauterbach, CK Ullal, V Westphal, SW Hell","Langmuir 26 (18), 14400-14404, 2010","32","2010"
"298","Optical transfer functions of 4Pi confocal microscopes: theory and experiment","M Schrader, M Kozubek, SW Hell, T Wilson","Optics letters 22 (7), 436-438, 1997","32","1997"
"299","Stable positioning of Unc13 restricts synaptic vesicle fusion to defined release sites to promote synchronous neurotransmission","S Reddy-Alla, MA Böhme, E Reynolds, C Beis, AT Grasskamp, ...","Neuron 95 (6), 1350-1364. e12, 2017","31","2017"
"300","Tissue multicolor STED nanoscopy of presynaptic proteins in the calyx of held","C Kempf, T Staudt, P Bingen, H Horstmann, J Engelhardt, SW Hell, ...","PloS one 8 (4), e62893, 2013","31","2013"
"301","4Pi microscopy of type A with 1-photon excitation in biological fluorescence imaging","M Lang, T Müller, J Engelhardt, SW Hell","Optics express 15 (5), 2459-2467, 2007","31","2007"
"302","Two-photon excitation fluorescence microscopy using a semiconductor laser","PE Hänninen, M Schrader, E Soini, SW Hell","Bioimaging 3 (2), 70-75, 1995","31","1995"
"303","Cell-permeant large Stokes shift dyes for transfection-free multicolor nanoscopy","AN Butkevich, G Lukinavic<U+030C>ius, E D’Este, SW Hell","Journal of the American Chemical Society 139 (36), 12378-12381, 2017","30","2017"
"304","Nobel Lecture: Nanoscopy with freely propagating light","SW Hell","Reviews of Modern Physics 87 (4), 1169, 2015","30","2015"
"305","Far-Red Emitting Fluorescent Dyes for Optical Nanoscopy: Fluorinated Silicon–Rhodamines (SiRF Dyes) and Phosphorylated Oxazines","K Kolmakov, E Hebisch, T Wolfram, LA Nordwig, CA Wurm, H Ta, ...","Chemistry-A European Journal 21 (38), 13344-13356, 2015","30","2015"
"306","Molecular organization of an amphiphilic styryl pyridinium dye in monolayers at the air/water interface in the presence of various anions","AA Turshatov, D Möbius, ML Bossi, SW Hell, AI Vedernikov, NA Lobova, ...","Langmuir 22 (4), 1571-1579, 2006","30","2006"
"307","4Pi confocal microscopy with alternate interference","SW Hell, M Nagorni","Optics letters 23 (20), 1567-1569, 1998","30","1998"
"308","Multicolour nanoscopy of fixed and living cells with a single STED beam and hyperspectral detection","FR Winter, M Loidolt, V Westphal, AN Butkevich, C Gregor, SJ Sahl, ...","Scientific reports 7, 46492, 2017","29","2017"
"309","4Pi-RESOLFT nanoscopy","U Böhm, SW Hell, R Schmidt","Nature communications 7, 10504, 2016","29","2016"
"310","Subcutaneous administration of monoclonal antibodies in oncology","C Jackisch, V Müller, C Maintz, S Hell, B Ataseven","Geburtshilfe und Frauenheilkunde 74 (04), 343-349, 2014","29","2014"
"311","4Pi microscopy with negligible sidelobes","MC Lang, T Staudt, J Engelhardt, SW Hell","New Journal of Physics 10 (4), 043041, 2008","29","2008"
"312","Hydroxylated Fluorescent Dyes for Live-Cell Labeling: Synthesis, Spectra and Super-Resolution STED","AN Butkevich, VN Belov, K Kolmakov, VV Sokolov, H Shojaei, ...","Chemistry-A European Journal 23 (50), 12114-12119, 2017","28","2017"
"313","Hydroxylated Fluorescent Dyes for Live-Cell Labeling: Synthesis, Spectra and Super-Resolution STED","AN Butkevich, VN Belov, K Kolmakov, VV Sokolov, H Shojaei, ...","Chemistry-A European Journal 23 (50), 12114-12119, 2017","28","2017"
"314","Presynaptic spinophilin tunes neurexin signalling to control active zone architecture and function","K Muhammad, S Reddy-Alla, JH Driller, D Schreiner, U Rey, MA Böhme, ...","Nature communications 6, 8362, 2015","28","2015"
"315","Carborhodol: a new hybrid fluorophore obtained by combination of fluorescein and carbopyronine dye cores","MV Sednev, CA Wurm, VN Belov, SW Hell","Bioconjugate chemistry 24 (4), 690-700, 2013","28","2013"
"316","Novel roles of Caenorhabditis elegans heterochromatin protein HP1 and linker histone in the regulation of innate immune gene expression","M Studencka, A Konzer, G Moneron, D Wenzel, L Opitz, G Salinas-Riester, ...","Molecular and cellular biology 32 (2), 251-265, 2012","28","2012"
"317","Photobleaching in STED nanoscopy and its dependence on the photon flux applied for reversible silencing of the fluorophore","J Oracz, V Westphal, C Radzewicz, SJ Sahl, SW Hell","Scientific Reports 7 (1), 11354, 2017","27","2017"
"318","Hydrophilic and lipophilic rhodamines for labelling and imaging","S Hell, VN Belov, K Kolmakov, V Westphal, M Lauterbach, S Jakobs, ...","US Patent 8,580,579, 2013","27","2013"
"319","Novel hydrophilic and lipophilic rhodamines for labelling and imaging","S Hell, VN Belov, K Kolmakov, V Westphal, M Lauterbach, S Jakobs, ...","US Patent App. 13/266,775, 2012","27*","2012"
"320","Switchable Fluorescent and Solvatochromic Molecular Probes Based on 4-Amino-N-methylphthalimide and a Photochromic Diarylethene","SF Yan, VN Belov, ML Bossi, SW Hell","European Journal of Organic Chemistry 2008 (15), 2531-2538, 2008","26","2008"
"321","Reversible rot fluoreszierende molekulare Schalter","M Bossi, V Belov, S Polyakova, SW Hell","Angewandte Chemie 118 (44), 7623-7627, 2006","26","2006"
"322","Two new high-resolution confocal fluorescence microscopies (4Pi, Theta) with one-and two-photon excitation","S Lindek, EHK Stelzer, SW Hell","Handbook of Biological Confocal Microscopy, 417-430, 1995","26","1995"
"323","Dual channel RESOLFT nanoscopy by using fluorescent state kinetics","I Testa, E D’Este, NT Urban, F Balzarotti, SW Hell","Nano letters 15 (1), 103-106, 2014","25","2014"
"324","Far-field autofluorescence nanoscopy","J Bierwagen, I Testa, J Fo¨lling, D Wenzel, S Jakobs, C Eggeling, ...","Nano letters 10 (10), 4249-4252, 2010","25","2010"
"325","Nanoscale resolution in far-field fluorescence microscopy","SW Hell, A Schönle, A Van den Bos","Science of microscopy, 790-834, 2007","25","2007"
"326","Spectroscopic properties of an amphiphilic styryl pyridinium dye in Langmuir–Blodgett films","AA Turshatov, ML Bossi, D Möbius, SW Hell, AI Vedernikov, SP Gromov, ...","Thin Solid Films 476 (2), 336-339, 2005","25","2005"
"327","Fluorinated rhodamines as photostable fluorescent dyes for labelling and imaging techniques","SW Hell, VN Belov, G Mitronova, M Bossi, G Moneron, CA Wurm, ...","US Patent 8,735,444, 2014","24","2014"
"328","Novel fluorinated rhodamines as photostable fluorescent dyes for labelling and imaging techniques","SW Hell, VN Belov, G Mitronova, M Bossi, G Moneron, CA Wurm, ...","US Patent App. 13/380,148, 2012","24*","2012"
"329","Fluorescent dyes and probes for super-resolution microscopy of microtubules and tracheoles in living cells and tissues","G Lukinavicius, GY Mitronova, S Schnorrenberg, AN Butkevich, H Barthel, ...","Chemical Science 9 (13), 3324-3334, 2018","23","2018"
"330","Method and apparatus for spatially limited excitation of an optical transition","S Hell, M Dyba","US Patent 7,253,893, 2007","23","2007"
"331","Confocal microscope comprising two microlens arrays and a pinhole diaphragm array","S Hell, R Pick","US Patent 6,934,079, 2005","23","2005"
"332","Confocal microscope comprising two microlens arrays and a pinhole diaphragm array","S Hell, R Pick","US Patent App. 10/980,552, 2005","23","2005"
"333","Method and apparatus for spatially limited excitation of an optical transition","S Hell, M Dyba","US Patent App. 10/840,872, 2004","23","2004"
"334","In vivo super-resolution RESOLFT microscopy of Drosophila melanogaster","S Schnorrenberg, T Grotjohann, G Vorbrüggen, A Herzig, SW Hell, ...","Elife 5, e15567, 2016","22","2016"
"335","isoSTED nanoscopy with intrinsic beam alignment","F Curdt, SJ Herr, T Lutz, R Schmidt, J Engelhardt, SJ Sahl, SW Hell","Optics Express 23 (24), 30891-30903, 2015","22","2015"
"336","Rhodamine NN: eine neue Klasse maskierter Fluoreszenzfarbstoffe","VN Belov, CA Wurm, VP Boyarskiy, S Jakobs, SW Hell","Angewandte Chemie 122 (20), 3598-3602, 2010","22","2010"
"337","Nanoscale resolution with focused light: STED and other RESOLFT microscopy concepts","SW Hell, KI Willig, M Dyba, S Jakobs, L Kastrup, V Westphal","Handbook of biological confocal microscopy, 571-579, 2006","22","2006"
"338","Superresolution optical magnetic imaging and spectroscopy using individual electronic spins in diamond","JC Jaskula, E Bauch, S Arroyo-Camejo, MD Lukin, SW Hell, AS Trifonov, ...","Optics Express 25 (10), 11048-11064, 2017","21","2017"
"339","Flexible microdomain specific staining of block copolymers for 3D optical nanoscopy","CK Ullal, S Primpke, R Schmidt, U Bo¨hm, A Egner, P Vana, SW Hell","Macromolecules 44 (19), 7508-7510, 2011","21","2011"
"340","Automatic deconvolution in 4Pi-microscopy with variable phase","G Vicidomini, R Schmidt, A Egner, S Hell, A Schönle","Optics express 18 (10), 10154-10167, 2010","21","2010"
"341","of Book: Single Molecule Spectroscopy in Chemistry, Physics and Biology","SW Hell","Springer, 2009","21","2009"
"342","Multifocal multi-photon microscopy","J Bewersdorf, A Egner, SW Hell","Handbook of biological confocal microscopy, 550-560, 2006","21","2006"
"343","Calculation of vectorial three-dimensional transfer functions in large-angle focusing systems","A Schönle, SW Hell","JOSA A 19 (10), 2121-2126, 2002","21","2002"
"344","Strongly enhanced bacterial bioluminescence with the ilux operon for single-cell imaging","C Gregor, KC Gwosch, SJ Sahl, SW Hell","Proceedings of the National Academy of Sciences 115 (5), 962-967, 2018","20","2018"
"345","Two-color 810 nm STED nanoscopy of living cells with endogenous SNAP-tagged fusion proteins","AN Butkevich, H Ta, M Ratz, S Stoldt, S Jakobs, VN Belov, SW Hell","ACS chemical biology 13 (2), 475-480, 2017","20","2017"
"346","SRpHi ratiometric pH biosensors for super-resolution microscopy","DS Richardson, C Gregor, FR Winter, NT Urban, SJ Sahl, KI Willig, ...","Nature communications 8 (1), 577, 2017","20","2017"
"347","High spatial resolution imaging of a structure of interest in a specimen","S Hell, C Eggeling, A Egner, J Fölling, A Schönle, M Bossi","US Patent 8,084,754, 2011","20","2011"
"348","High spatial resolution imaging of a structure of interest in a specimen","S Hell, C Eggeling, A Egner, J Fölling, A Schönle, M Bossi","US Patent App. 13/013,359, 2011","20","2011"
"349","Fluorescence microscopy looks chemically sharp","SW Hell, L Kastrup","Nachrichten aus der Chemie 55 (1), 47-50, 2007","20","2007"
"350","Coordinate-Targeted and Coordinate-Stochastic Super-Resolution Microscopy with the Reversibly Switchable Fluorescent Protein Dreiklang","NA Jensen, JG Danzl, KI Willig, F Lavoie-Cardinal, T Brakemann, ...","ChemPhysChem 15 (4), 756-762, 2014","19","2014"
"351","Dark state photophysics of nitrogen–vacancy centres in diamond","KY Han, D Wildanger, E Rittweger, J Meijer, S Pezzagna, SW Hell, ...","New Journal of Physics 14 (12), 123002, 2012","19","2012"
"352","Microscopy: Light from the dark","SW Hell, E Rittweger","Nature 461 (7267), 1069, 2009","19*","2009"
"353","Far-field fluorescence microscopy with repetitive excitation","A Schönle, SW Hell","The European Physical Journal D-Atomic, Molecular, Optical and Plasma …, 1999","19","1999"
"354","Stimulated emission on microscopic scale: Light quenching of Pyridine 2 using a Ti: sapphire laser","SW Hell, M Schrader, K Bahlmann, F Meinecke, JR Lakowicz, ...","Journal of Microscopy 180 (2), RP1-RP2, 1995","19","1995"
"355","Pulsed and cw confocal microscopy: a comparison of resolution and contrast","SW Hell, PE Hänninen, J Salo, A Kuusisto, E Soini, T Wilson, JB Tan","Optics communications 113 (1-3), 144-152, 1994","19","1994"
"356","A confocal beam scanning white-light microscope","S Hell, S Witting, M v Schickfus, RWW van Resandt, S Hunklinger, ...","Journal of Microscopy 163 (2), 179-187, 1991","19","1991"
"357","Stimulated Emission Depletion Nanoscopy Reveals Time-Course of Human Immunodeficiency Virus Proteolytic Maturation","J Hanne, F Go¨ttfert, J Schimer, M Anders-O¨sswein, J Konvalinka, ...","ACS nano 10 (9), 8215-8222, 2016","18","2016"
"358","MRT letter: Nanoscopy of protein colocalization in living cells by STED and GSDIM","B Lalkens, I Testa, KI Willig, SW Hell","Microscopy research and technique 75 (1), 1-6, 2012","18","2012"
"359","4Pi microscopy","J Bewersdorf, A Egner, SW Hell","Handbook of biological confocal microscopy, 561-570, 2006","18","2006"
"360","Robust nanoscopy of a synaptic protein in living mice by organic-fluorophore labeling","JM Masch, H Steffens, J Fischer, J Engelhardt, J Hubrich, ...","Proceedings of the National Academy of Sciences 115 (34), E8047-E8056, 2018","17","2018"
"361","MINFLUX monitors rapid molecular jumps with superior spatiotemporal resolution","Y Eilers, H Ta, KC Gwosch, F Balzarotti, SW Hell","Proceedings of the National Academy of Sciences 115 (24), 6117-6122, 2018","17","2018"
"362","STED nanoscopy of the centrosome linker reveals a CEP68-organized, periodic rootletin network anchored to a C-Nap1 ring at centrioles","R Vlijm, X Li, M Panic, D Rüthnick, S Hata, F Herrmannsdörfer, T Kuner, ...","Proceedings of the National Academy of Sciences 115 (10), E2246-E2253, 2018","17","2018"
"363","Nanoscopy with focused light","SW Hell","Annalen der Physik 527 (7-8), 423-445, 2015","17","2015"
"364","Superresolution microscopy in heart—Cardiac nanoscopy","T Kohl, V Westphal, SW Hell, SE Lehnart","Journal of molecular and cellular cardiology 58, 13-21, 2013","17","2013"
"365","STED-Fluorescent light microscopy with two-photon excitation","SW Hell, K Willig","US Patent 7,863,585, 2011","17","2011"
"366","STED-Fluorescent light microscopy with two-photon excitation","SW Hell, K Willig","US Patent App. 12/706,388, 2010","17","2010"
"367","Polarization effects in 4Pi confocal microscopy studied with water-immersion lenses","K Bahlmann, SW Hell","Applied optics 39 (10), 1652-1658, 2000","17","2000"
"368","STED nanoscopy with wavelengths at the emission maximum","MD Bordenave, F Balzarotti, FD Stefani, SW Hell","Journal of Physics D: Applied Physics 49 (36), 365102, 2016","16","2016"
"369","Reorganization of Lipid Diffusion by Myelin Basic Protein as Revealed by STED Nanoscopy","O Steshenko, DM Andrade, A Honigmann, V Mueller, F Schneider, ...","Biophysical Journal 110 (11), 2441-2450, 2016","16","2016"
"370","A high affinity RIM-binding protein/Aplip1 interaction prevents the formation of ectopic axonal active zones","M Siebert, MA Böhme, JH Driller, H Babikir, MM Mampell, U Rey, ...","Elife 4, e06935, 2015","16","2015"
"371","Far-Field Optical Nanoscopy","P Tinnefeld","Springer, 2015","16","2015"
"372","Determination of the unknown phase difference in 4Pi-confocal microscopy through the image intensity","CM Blanca, J Bewersdorf, SW Hell","Optics communications 206 (4-6), 281-285, 2002","16","2002"
"373","Quantitative optical nanophysiology of Ca 2+ signaling at inner hair cell active zones","J Neef, NT Urban, TL Ohn, T Frank, P Jean, SW Hell, KI Willig, T Moser","Nature communications 9 (1), 290, 2018","15","2018"
"374","Achromatic light patterning and improved image reconstruction for parallelized RESOLFT nanoscopy","A Chmyrov, M Leutenegger, T Grotjohann, A Schönle, J Keller-Findeisen, ...","Scientific reports 7, 44619, 2017","15","2017"
"375","The tissue inhibitor of metalloproteinases-1 improves migration and adhesion of hematopoietic stem and progenitor cells","CM Wilk, FA Schildberg, MA Lauterbach, RP Cadeddu, J Fröbel, ...","Experimental hematology 41 (9), 823-831. e2, 2013","15","2013"
"376","Nanoscale resolution with focused light: Stimulated emission depletion and other reversible saturable optical fluorescence transitions microscopy concepts","SW Hell, KI Willig, M Dyba, S Jakobs, L Kastrup, V Westphal","Handbook of Biological Confocal Microscopy, 571-579, 2006","15","2006"
"377","Wavefronts in the focus of a light microscope","M Schrader, SW Hell","Journal of Microscopy 184 (3), 143-148, 1996","15","1996"
"378","Ground State Depletion Nanoscopy Resolves Semiconductor Nanowire Barcode Segments at Room Temperature","J Oracz, K Adolfsson, V Westphal, C Radzewicz, MT Borgstro¨m, SJ Sahl, ...","Nano Letters 17 (4), 2652-2659, 2017","14","2017"
"379","“Reduced” Coumarin Dyes with an O-Phosphorylated 2, 2-Dimethyl-4-(hydroxymethyl)-1, 2, 3, 4-tetrahydroquinoline Fragment: Synthesis, Spectra, and STED Microscopy","S Nizamov, MV Sednev, ML Bossi, E Hebisch, H Frauendorf, SE Lehnart, ...","Chemistry-A European Journal 22 (33), 11631-11642, 2016","14","2016"
"380","Super-resolution microscopy of clickable amino acids reveals the effects of fluorescent protein tagging on protein assemblies","IC Vreja, I Nikic´, F Go¨ttfert, M Bates, K Kro¨hnert, TF Outeiro, SW Hell, ...","ACS nano 9 (11), 11034-11041, 2015","14","2015"
"381","Method of producing spatial fine structures","S Hell, V Westphal, N Quaas","US Patent 7,764,369, 2010","14","2010"
"382","Method of producing spatial fine structures","S Hell, V Westphal, N Quaas","US Patent App. 11/856,887, 2008","14","2008"
"383","Method and device for multi photon excitation of a sample","S Hell","US Patent 7,115,885, 2006","14","2006"
"384","Method and device for multi photon excitation of a sample","S Hell","US Patent App. 10/684,115, 2004","14","2004"
"385","Three-photon excitation of 2, 5-bis (4-biphenyl) oxazole: steady-state and time-resolved intensities and anisotropies","I Gryczynski, HM Malak, SW Hell, JR Lakowicz","Journal of Biomedical Optics 1 (4), 473-481, 1996","14","1996"
"386","Department of Neurobiology","J WANG, J LI, J ZHANG","Medical College of Chinese Police Forces, Tianjin 300162, 0","14",""
"387","Method and apparatus for tracking a particle, particularly a single molecule, in a sample","SW Hell","US Patent 9,291,562, 2016","13","2016"
"388","Fluoreszierende Rhodamine und fluorogene Carbopyronine für die STED-Mikroskopie lebender Zellen","AN Butkevich, GY Mitronova, SC Sidenstein, JL Klocke, D Kamin, ...","Angewandte Chemie 128 (10), 3350-3355, 2016","13","2016"
"389","High-Resolution Tracking of Single-Molecule Diffusion in Membranes by Confocalized and Spatially Differentiated Fluorescence Photon Stream Recording","SJ Sahl, M Leutenegger, SW Hell, C Eggeling","ChemPhysChem 15 (4), 771-783, 2014","13","2014"
"390","Method and Apparatus for Tracking a Particle, Particularly a Single Molecule, in a Sample","SW Hell","US Patent App. 14/050,583, 2014","13","2014"
"391","Synthesis of photochromic compounds for aqueous solutions and focusable light","SM Polyakova, VN Belov, ML Bossi, SW Hell","European Journal of Organic Chemistry 2011 (18), 3301-3312, 2011","13","2011"
"392","Double confocal scanning microscope","H Gugel, J Bewersdorf, SW Hell","US Patent 6,891,670, 2005","13","2005"
"393","Light microscopy on the move","PIH Bastiaens, SW Hell","Journal of Structural Biology 147 (1), 1-2, 2004","13","2004"
"394","Double confocal scanning microscope","H Gugel, J Bewersdorf, S Hell","US Patent App. 09/683,713, 2002","13","2002"
"395","Adenosine receptors regulate gap junction coupling of the human cerebral microvascular endothelial cells hCMEC/D3 by Ca2+ influx through cyclic nucleotide-gated channels","A Bader, W Bintig, D Begandt, A Klett, IG Siller, C Gregor, ...","The Journal of physiology 595 (8), 2497-2517, 2017","12","2017"
"396","Superresolving dendritic spines","LM Loew, SW Hell","Biophysical journal 104 (4), 741-743, 2013","12","2013"
"397","Creating a permanent structure with high spatial resolution","S Hell","US Patent 7,539,115, 2009","11","2009"
"398","Method of microscopically examining a spatial finestructure","S Hell, V Westphal, N Quaas","US Patent 7,538,893, 2009","11","2009"
"399","Method of microscopically examining a spatial finestructure","S Hell, V Westphal, N Quaas","US Patent App. 11/861,405, 2008","11","2008"
"400","Influence of monolayer state on spectroscopy and photoisomerization of an amphiphilic styryl-pyridinium dye on a solid substrate","ML Bossi, AA Turshatov, SY Zaitsev, MV Alfimov, D Möbius, SW Hell","Langmuir 23 (7), 3699-3705, 2007","11","2007"
"401","Method and apparatus for storing a three-dimensional arrangement of data bits in a solid-state body","S Hell, S Jakobs, M Andresen, AC Stiel, C Eggeling","US Patent App. 11/510,194, 2007","11","2007"
"402","Creating a permanet structure with high spatial resolution","S Hell","US Patent App. 11/249,103, 2006","11","2006"
"403","Confocal fluorescence microscopy: Wave optics considerations and applications to cell biology","S Hell, E Lehtonen, EHK Stelzer","New Dimensions of Visualization in Biomedical Microscopies, 145-160, 1992","11","1992"
"404","Rapid active zone remodeling consolidates presynaptic potentiation","MA Boehme, AW McCarthy, AT Grasskamp, CB Beuschel, P Goel, ...","bioRxiv, 493452, 2018","10","2018"
"405","The nobel prize in chemistry 2014","E Betzig, SW Hell, WE Moerner","Nobel Media AB, 2014","10","2014"
"406","Monitoring triplet state dynamics with fluorescence correlation spectroscopy: Bias and correction","A Schönle, C Von Middendorff, C Ringemann, SW Hell, C Eggeling","Microscopy research and technique 77 (7), 528-536, 2014","10","2014"
"407","Automatic deconvolution of 4Pi-microscopy data with arbitrary phase","G Vicidomini, SW Hell, A Schönle","Optics letters 34 (22), 3583-3585, 2009","10","2009"
"408","Method of exciting molecules out of a first state into a second states using an optical signal","SW Hell","US Patent 7,224,452, 2007","10","2007"
"409","Method of exciting molecules out of a first state into a second states using an optical signal","S Hell","US Patent App. 11/525,505, 2007","10","2007"
"410","Fluorescence nanoscopy: breaking the diffraction barrier by the RESOLFT concept","SW Hell","2005 IEEE LEOS Annual Meeting Conference Proceedings, 42, 2005","10","2005"
"411","Sharp Spherical Focal Spot by Dark Ring 4Pi-Confocal Microscopy","C Mar Blanca, SW Hell","Single Molecules 2 (3), 207-210, 2001","10","2001"
"412","[8] Bioenergetic characterization of <U+03B3>-aminobutyric acid transporter of synaptic vesicles","JW Hell, R Jahn","Methods in enzymology 296, 116-124, 1998","10","1998"
"413","Nanoskopie mit fokussiertem Licht (Nobel-Aufsatz)","SW Hell","Angewandte Chemie 127 (28), 8167-8181, 2015","9","2015"
"414","Photoactivable fluorescent dyes for optical microscopy and imaging techniques","SW Hell, VN Belov, VP Boyarskiy, CA Wurm, S Jakobs, C Geisler","US Patent 8,617,827, 2013","9","2013"
"415","Novel photoactivable fluorescent dyes for optical microscopy and imaging techniques","SW Hell, VN Belov, VP Boyarskiy, CA Wurm, S Jakobs, C Geisler","US Patent App. 13/395,323, 2012","9*","2012"
"416","STED microscopy with compact light sources","L Kastrup, D Wildanger, B Rankin, SW Hell, A Diaspro","Nanoscopy and Multidimensional Optical Fluorescence Microscopy, 1-13, 2010","9","2010"
"417","Phase determination in interference-based superresolving microscopes through critical frequency analysis","SW Hell, CM Blanca, J Bewersdorf","Optics letters 27 (11), 888-890, 2002","9","2002"
"418","Light quenching of pyridine2 fluorescence with time-delayed pulses","I Gryczynski, SW Hell, JR Lakowicz","Biophysical chemistry 66 (1), 13-24, 1997","9","1997"
"419","Resolving fluorescence beads at 100–200 nm axial distance with a two-photon 4Pi-microscope operating in the near infrared","SW Hell, M Schrader, PE Hänninen, E Soini","Optics communications 120 (3-4), 129-133, 1995","9","1995"
"420","Resolution Beyond the Diffraction Limit-4pi-Confocal, STED, and GSD","SW Hell, PE Hanninen, M Schrader, T Wilson, E Soini","Zoological Studies 34, 70-70, 1995","9","1995"
"421","Triarylmethane Fluorophores Resistant to Oxidative Photobluing","AN Butkevich, ML Bossi, G Lukinavic<U+030C>ius, SW Hell","Journal of the American Chemical Society 141 (2), 981-989, 2018","8","2018"
"422","High spatial resolution imaging of a structure of interest in a specimen","SW Hell, J Fölling, C Eggeling, A Egner, A Schönle, M Bossi","US Patent 8,174,692, 2012","8","2012"
"423","High Spatial Resolution Imaging of a Structure of Interest in a Specimen","SW Hell, J Fölling, C Eggeling, A Egner, A Schönle, M Bossi","US Patent App. 12/949,159, 2011","8","2011"
"424","Method and apparatus for the high spatial resolution imaging of a structure marked with a substance","S Hell","US Patent 7,894,067, 2011","8","2011"
"425","Method and apparatus for the high spatial resolution imaging of a structure marked with a substance","S Hell","US Patent App. 12/486,224, 2009","8","2009"
"426","Near-infrared STED nanoscopy with an engineered bacterial phytochrome","M Kamper, H Ta, NA Jensen, SW Hell, S Jakobs","Nature communications 9 (1), 4762, 2018","7","2018"
"427","Nanoparticle-assisted STED nanoscopy with gold nanospheres","NT Urban, MR Foreman, SW Hell, Y Sivan","ACS Photonics 5 (7), 2574-2583, 2017","7","2017"
"428","Carboxylierte photoschaltbare Diarylethene als Biomarkierungen für hochauflösende RESOLFT-Mikroskopie","B Roubinet, ML Bossi, P Alt, M Leutenegger, H Shojaei, S Schnorrenberg, ...","Angewandte Chemie 128 (49), 15655-15659, 2016","7","2016"
"429","Method and device for optically measuring a sample","S Hell, C Eggeling, G Donnert","US Patent 7,719,679, 2010","7","2010"
"430","Method and Device for Optically Measuring a Sample","S Hell, C Eggeling, G Donnert","US Patent App. 11/955,793, 2008","7","2008"
"431","Breaking Abbe’s barrier: diffraction-unlimited resolution in far-field microscopy","SW Hell","Cytometry Part A 71, 742-742, 2007","7","2007"
"432","Fluoreszenzmikroskopie ohne beugungsgrenze","SW Hell, K Willig, V Westphal","Biospektrum 12 (5), 492-494, 2006","7","2006"
"433","Pulsed laser fluorophore deposition: a method for measuring the axial resolution in two-photon fluorescence microscopy","SW Hell, AR Utz, M Schrader, PE Hänninen, E Soini","JOSA A 12 (9), 2072-2076, 1995","7","1995"
"434","The application of polarized confocal microscopy for the size measurement of resist structures","S Hell, RW Wijnaendts-van-Resandt","Optical Storage and Scanning Technology 1139, 92-99, 1989","7","1989"
"435","Photoactivatable Rhodamine Spiroamides and Diazoketones Decorated with “Universal Hydrophilizer” or Hydroxyl Groups","B Roubinet, M Bischoff, S Nizamov, S Yan, C Geisler, S Stoldt, ...","The Journal of organic chemistry 83 (12), 6466-6476, 2018","6","2018"
"436","STED fluorescence nanoscopy","C Eggeling, SW Hell","Far-Field Optical Nanoscopy, 3-25, 2014","6","2014"
"437","Image formation and data acquisition in a stage scanning 4Pi confocal fluorescence microscope","JT Soini, M Schrader, PE Hänninen, SW Hell","Applied optics 36 (34), 8929-8934, 1997","6","1997"
"438","Bichromophoric Compounds with Orthogonally and Parallelly Arranged Chromophores Separated by Rigid Spacers","DNH Meineke, ML Bossi, H Ta, VN Belov, SW Hell","Chemistry-A European Journal 23 (10), 2469-2475, 2017","5","2017"
"439","Grä ter","M Andresen, MC Wahl, AC Stiel","F., Schä fer, LV, Trowitzsch, S., Weber, G., Eggeling, C., Grubmüller, H …, 2005","5","2005"
"440","Absolute optische Wirkungsquerschnitte fluoreszierender Einzelmoleküle","L Kastrup, SW Hell","Angewandte Chemie 116 (48), 6814-6818, 2004","5","2004"
"441","Novel reversibly switchable fluorescent proteins for RESOLFT and STED nanoscopy engineered from the bacterial photoreceptor YtvA","C Gregor, SC Sidenstein, M Andresen, SJ Sahl, JG Danzl, SW Hell","Scientific reports 8 (1), 2724, 2018","4","2018"
"442","Method and system for imaging a molecular strand","GJL Wuite, EJG Peterman, I Heller, G Sitters, A Candelli, SW Hell","US Patent 9,766,180, 2017","4","2017"
"443","Method and system for imaging a molecular strand","GJL Wuite, EJG Peterman, I Heller, G Sitters, A Candelli, SW Hell","US Patent App. 14/895,477, 2016","4","2016"
"444","Functionalization of the meso-Phenyl Ring of Rhodamine Dyes Through SNAr with Sulfur Nucleophiles: Synthesis, Biophysical Characterizations, and Comprehensive NMR Analysis","GY Mitronova, S Polyakova, CA Wurm, K Kolmakov, T Wolfram, ...","European Journal of Organic Chemistry 2015 (2), 337-349, 2015","4","2015"
"445","Fluoreszenznanoskopie einzelner DNA-Moleküle mit Fluoreszenzverhinderung durch stimulierte Emission (STED)","F Persson, P Bingen, T Staudt, J Engelhardt, JO Tegenfeldt, SW Hell","Angewandte Chemie 123 (24), 5696-5698, 2011","4","2011"
"446","High-resolution far-field fluorescence STED microscopy reveals nanoscale details of molecular membrane dynamics","C Eggeling, C Ringemann, R Medda, B Hein, SW Hell","Biophysical Journal 96 (3), 197a, 2009","4","2009"
"447","Rhodamine–Hoechst positional isomers for highly efficient staining of heterochromatin","J Bucevicius, J Keller-Findeisen, T Gilat, SW Hell, G Lukinavicius","Chemical Science, 2019","3","2019"
"448","PONy Dyes: Direct Addition of P (III) Nucleophiles to Organic Fluorophores","AN Butkevich, MV Sednev, H Shojaei, VN Belov, SW Hell","Organic letters 20 (4), 1261-1264, 2018","3","2018"
